participant_id,video_no,conflict,action,pre_score,post_score,diff_score
16,4,葛藤なし,成功なし,3.3,3.5,0.20000000000000018
17,4,葛藤なし,成功なし,2.0,2.3,0.2999999999999998
18,4,葛藤なし,成功なし,3.4,3.0,-0.3999999999999999
19,4,葛藤なし,成功なし,3.1,3.7,0.6000000000000001
20,4,葛藤なし,成功なし,3.0,3.5,0.5
21,4,葛藤なし,成功なし,3.0,2.9,-0.10000000000000009
22,4,葛藤なし,成功なし,3.0,3.0,0.0
23,4,葛藤なし,成功なし,1.7,2.4,0.7
24,4,葛藤なし,成功なし,3.1,3.0,-0.10000000000000009
25,4,葛藤なし,成功なし,2.3,2.2,-0.09999999999999964
26,4,葛藤なし,成功なし,2.6,2.9,0.2999999999999998
27,4,葛藤なし,成功なし,3.6,3.3,-0.30000000000000027
28,4,葛藤なし,成功なし,3.0,3.0,0.0
29,4,葛藤なし,成功なし,3.9,3.9,0.0
30,4,葛藤なし,成功なし,3.4,4.2,0.8000000000000003
31,4,葛藤なし,成功なし,3.1,3.0,-0.10000000000000009
32,4,葛藤なし,成功なし,2.6,3.0,0.3999999999999999
33,4,葛藤なし,成功なし,2.8,2.7,-0.09999999999999964
34,4,葛藤なし,成功なし,4.0,4.3,0.2999999999999998
35,4,葛藤なし,成功なし,2.2,2.4,0.19999999999999973
36,4,葛藤なし,成功なし,3.1,2.9,-0.20000000000000018
37,4,葛藤なし,成功なし,3.5,3.8,0.2999999999999998
38,4,葛藤なし,成功なし,3.1,3.0,-0.10000000000000009
39,4,葛藤なし,成功なし,2.3,3.3,1.0
40,4,葛藤なし,成功なし,3.8,3.5,-0.2999999999999998
41,4,葛藤なし,成功なし,2.4,3.0,0.6000000000000001
42,4,葛藤なし,成功なし,3.0,3.0,0.0
43,4,葛藤なし,成功なし,2.5,2.7,0.20000000000000018
44,4,葛藤なし,成功なし,3.0,3.0,0.0
45,4,葛藤なし,成功なし,3.6,3.6,0.0
46,4,葛藤なし,成功なし,2.5,2.2,-0.2999999999999998
47,4,葛藤なし,成功なし,2.3,2.1,-0.19999999999999973
48,4,葛藤なし,成功なし,1.7,2.1,0.40000000000000013
49,4,葛藤なし,成功なし,3.1,3.1,0.0
50,4,葛藤なし,成功なし,3.4,3.4,0.0
51,4,葛藤なし,成功なし,3.3,3.5,0.20000000000000018
52,4,葛藤なし,成功なし,2.5,2.5,0.0
53,4,葛藤なし,成功なし,2.2,3.0,0.7999999999999998
54,4,葛藤なし,成功なし,4.1,3.3,-0.7999999999999998
55,4,葛藤なし,成功なし,2.8,2.8,0.0
