participant_id,diff_video1_葛藤あり行動あり,diff_video2_葛藤あり行動なし,diff_video3_葛藤なし行動あり,diff_video4_葛藤なし行動なし,group
75,-0.30000000000000027,-0.20000000000000018,0.0,-0.10000000000000009,その他群
76,0.10000000000000009,0.3999999999999999,0.2999999999999998,0.3999999999999999,その他群
77,-0.7999999999999998,0.0,0.20000000000000018,-0.09999999999999964,その他群
78,0.10000000000000009,0.0,0.20000000000000018,0.10000000000000009,その他群
79,0.8999999999999995,0.09999999999999964,0.19999999999999973,0.2999999999999998,その他群
81,-0.09999999999999964,0.10000000000000009,0.0,0.10000000000000009,その他群
82,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,その他群
83,0.0,-0.2999999999999998,0.0,-0.09999999999999964,その他群
84,-0.19999999999999973,0.40000000000000036,0.10000000000000009,0.20000000000000018,その他群
85,-0.6000000000000001,-0.8999999999999999,-0.6000000000000001,-0.19999999999999996,その他群
86,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,-0.20000000000000018,その他群
87,-0.20000000000000018,-0.2999999999999998,-0.5,0.0,その他群
88,0.19999999999999973,0.19999999999999973,0.19999999999999973,0.19999999999999973,その他群
90,-0.20000000000000018,-0.20000000000000018,-0.10000000000000009,-0.10000000000000009,その他群
91,-0.20000000000000018,-0.10000000000000009,-0.20000000000000018,-0.20000000000000018,その他群
92,0.2999999999999998,0.2999999999999998,0.2999999999999998,0.2999999999999998,その他群
93,-0.10000000000000009,0.0,0.0,-0.10000000000000009,その他群
94,-0.10000000000000009,-0.10000000000000009,0.10000000000000009,-0.10000000000000009,その他群
95,0.0,0.5,0.5,1.0,その他群
96,0.30000000000000027,0.7000000000000002,0.7000000000000002,0.8000000000000003,その他群
98,0.20000000000000018,-0.6999999999999997,0.20000000000000018,-0.7999999999999998,その他群
99,0.5,0.6000000000000001,0.7000000000000002,0.6000000000000001,その他群
102,-0.2999999999999998,0.0,0.10000000000000009,0.5000000000000004,その他群
103,0.20000000000000018,0.10000000000000009,0.0,0.20000000000000018,その他群
104,0.0,0.0,0.0,0.0,その他群
105,-0.10000000000000009,-0.20000000000000018,-0.10000000000000009,0.2999999999999998,その他群
106,0.8000000000000003,-0.30000000000000027,0.6000000000000001,0.0,その他群
107,-0.2999999999999998,-0.20000000000000018,-0.20000000000000018,-0.2999999999999998,その他群
108,-0.2999999999999998,0.10000000000000009,0.10000000000000009,-0.19999999999999973,その他群
109,0.30000000000000004,0.8,0.5000000000000002,0.40000000000000013,その他群
110,0.2999999999999998,0.5,0.5,0.5,その他群
111,0.0,-0.20000000000000018,0.10000000000000009,0.0,その他群
112,-0.5,-0.19999999999999973,-0.3999999999999999,0.0,その他群
113,0.40000000000000036,0.10000000000000009,0.40000000000000036,0.20000000000000018,その他群
114,-0.10000000000000009,-0.20000000000000018,0.10000000000000009,0.0,その他群
115,0.20000000000000018,-0.10000000000000009,0.20000000000000018,0.7000000000000002,その他群
117,0.2999999999999998,-0.7000000000000002,0.09999999999999964,-0.7000000000000002,その他群
118,0.7999999999999998,0.8999999999999999,0.7999999999999998,0.7999999999999998,その他群
120,-0.20000000000000018,0.0,0.10000000000000009,-0.10000000000000009,その他群
121,0.40000000000000036,-0.09999999999999964,0.40000000000000036,-0.7999999999999998,その他群
122,-0.2999999999999998,-0.7,-0.7,-0.5999999999999999,その他群
123,0.10000000000000009,0.30000000000000027,0.30000000000000027,0.40000000000000036,その他群
124,0.30000000000000027,0.10000000000000009,0.30000000000000027,0.30000000000000027,その他群
125,0.10000000000000009,0.10000000000000009,0.10000000000000009,0.10000000000000009,その他群
126,0.40000000000000036,0.20000000000000018,0.40000000000000036,0.0,その他群
