participant_id,video_no,conflict,action,score,score_type,target,pre_courage,group
83,1,葛藤あり,行動あり,-0.16666666666666674,diff,勇気尺度（diff）,2.0,事前勇気<4
84,1,葛藤あり,行動あり,0.33333333333333326,diff,勇気尺度（diff）,1.8333333333333333,事前勇気<4
85,1,葛藤あり,行動あり,-1.3333333333333333,diff,勇気尺度（diff）,2.5,事前勇気<4
86,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,4.0,事前勇気>=4
87,1,葛藤あり,行動あり,2.0,diff,勇気尺度（diff）,3.0,事前勇気<4
88,1,葛藤あり,行動あり,0.3333333333333335,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
89,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,7.0,事前勇気>=4
90,1,葛藤あり,行動あり,-0.16666666666666607,diff,勇気尺度（diff）,5.833333333333333,事前勇気>=4
91,1,葛藤あり,行動あり,-0.33333333333333304,diff,勇気尺度（diff）,4.833333333333333,事前勇気>=4
92,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,5.0,事前勇気>=4
93,1,葛藤あり,行動あり,1.0,diff,勇気尺度（diff）,4.0,事前勇気>=4
94,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
95,1,葛藤あり,行動あり,-1.0,diff,勇気尺度（diff）,3.5,事前勇気<4
96,1,葛藤あり,行動あり,0.33333333333333304,diff,勇気尺度（diff）,4.5,事前勇気>=4
97,1,葛藤あり,行動あり,1.0,diff,勇気尺度（diff）,3.5,事前勇気<4
98,1,葛藤あり,行動あり,1.3333333333333335,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
99,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,3.5,事前勇気<4
100,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
101,1,葛藤あり,行動あり,0.8333333333333335,diff,勇気尺度（diff）,1.5,事前勇気<4
102,1,葛藤あり,行動あり,-0.3333333333333339,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
103,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
104,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,4.0,事前勇気>=4
105,1,葛藤あり,行動あり,-0.33333333333333304,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
106,1,葛藤あり,行動あり,-0.16666666666666696,diff,勇気尺度（diff）,4.666666666666667,事前勇気>=4
107,1,葛藤あり,行動あり,-0.33333333333333304,diff,勇気尺度（diff）,2.6666666666666665,事前勇気<4
108,1,葛藤あり,行動あり,1.3333333333333335,diff,勇気尺度（diff）,2.5,事前勇気<4
109,1,葛藤あり,行動あり,-0.16666666666666652,diff,勇気尺度（diff）,3.1666666666666665,事前勇気<4
110,1,葛藤あり,行動あり,0.16666666666666607,diff,勇気尺度（diff）,4.166666666666667,事前勇気>=4
111,1,葛藤あり,行動あり,0.16666666666666652,diff,勇気尺度（diff）,3.8333333333333335,事前勇気<4
112,1,葛藤あり,行動あり,2.1666666666666665,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
113,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,5.166666666666667,事前勇気>=4
114,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
115,1,葛藤あり,行動あり,0.3333333333333335,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
116,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,2.5,事前勇気<4
117,1,葛藤あり,行動あり,1.1666666666666665,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
118,1,葛藤あり,行動あり,0.6666666666666665,diff,勇気尺度（diff）,2.3333333333333335,事前勇気<4
119,1,葛藤あり,行動あり,-0.3333333333333335,diff,勇気尺度（diff）,2.5,事前勇気<4
120,1,葛藤あり,行動あり,-0.33333333333333304,diff,勇気尺度（diff）,4.5,事前勇気>=4
121,1,葛藤あり,行動あり,0.0,diff,勇気尺度（diff）,6.833333333333333,事前勇気>=4
122,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,3.1666666666666665,事前勇気<4
123,1,葛藤あり,行動あり,0.6666666666666665,diff,勇気尺度（diff）,3.3333333333333335,事前勇気<4
124,1,葛藤あり,行動あり,0.5,diff,勇気尺度（diff）,3.1666666666666665,事前勇気<4
125,1,葛藤あり,行動あり,0.3333333333333339,diff,勇気尺度（diff）,4.333333333333333,事前勇気>=4
126,1,葛藤あり,行動あり,0.16666666666666696,diff,勇気尺度（diff）,3.6666666666666665,事前勇気<4
1,2,葛藤あり,行動なし,3.8333333333333335,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
2,2,葛藤あり,行動なし,5.0,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
3,2,葛藤あり,行動なし,3.8333333333333335,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
4,2,葛藤あり,行動なし,4.0,post,勇気尺度（post）,3.6666666666666665,事前勇気<4
5,2,葛藤あり,行動なし,3.0,post,勇気尺度（post）,2.3333333333333335,事前勇気<4
6,2,葛藤あり,行動なし,4.333333333333333,post,勇気尺度（post）,4.666666666666667,事前勇気>=4
7,2,葛藤あり,行動なし,4.0,post,勇気尺度（post）,4.333333333333333,事前勇気>=4
8,2,葛藤あり,行動なし,1.1666666666666667,post,勇気尺度（post）,3.3333333333333335,事前勇気<4
9,2,葛藤あり,行動なし,4.5,post,勇気尺度（post）,4.0,事前勇気>=4
10,2,葛藤あり,行動なし,2.0,post,勇気尺度（post）,2.0,事前勇気<4
11,2,葛藤あり,行動なし,6.166666666666667,post,勇気尺度（post）,6.333333333333333,事前勇気>=4
12,2,葛藤あり,行動なし,4.166666666666667,post,勇気尺度（post）,4.0,事前勇気>=4
13,2,葛藤あり,行動なし,3.0,post,勇気尺度（post）,3.1666666666666665,事前勇気<4
14,2,葛藤あり,行動なし,5.5,post,勇気尺度（post）,5.166666666666667,事前勇気>=4
15,2,葛藤あり,行動なし,2.0,post,勇気尺度（post）,2.1666666666666665,事前勇気<4
16,2,葛藤あり,行動なし,5.833333333333333,post,勇気尺度（post）,5.666666666666667,事前勇気>=4
17,2,葛藤あり,行動なし,4.666666666666667,post,勇気尺度（post）,4.5,事前勇気>=4
18,2,葛藤あり,行動なし,3.6666666666666665,post,勇気尺度（post）,2.8333333333333335,事前勇気<4
