participant_id,行動あり,行動なし,pre_courage,group,action_difference,condition_mean
32,3.6666666666666665,3.5,3.5,事前勇気<4,0.16666666666666652,3.583333333333333
33,5.333333333333333,5.666666666666667,5.5,事前勇気>=4,-0.3333333333333339,5.5
34,5.0,6.5,5.166666666666667,事前勇気>=4,-1.5,5.75
35,5.166666666666667,4.833333333333333,5.166666666666667,事前勇気>=4,0.3333333333333339,5.0
36,2.5,2.1666666666666665,2.6666666666666665,事前勇気<4,0.3333333333333335,2.333333333333333
37,3.8333333333333335,4.0,3.5,事前勇気<4,-0.16666666666666652,3.916666666666667
38,3.3333333333333335,3.1666666666666665,3.8333333333333335,事前勇気<4,0.16666666666666696,3.25
39,1.6666666666666667,1.8333333333333333,1.5,事前勇気<4,-0.16666666666666652,1.75
40,3.0,3.0,2.3333333333333335,事前勇気<4,0.0,3.0
41,3.8333333333333335,4.333333333333333,3.8333333333333335,事前勇気<4,-0.49999999999999956,4.083333333333333
42,3.1666666666666665,3.0,2.8333333333333335,事前勇気<4,0.16666666666666652,3.083333333333333
43,3.5,3.6666666666666665,3.5,事前勇気<4,-0.16666666666666652,3.583333333333333
44,2.0,2.3333333333333335,2.3333333333333335,事前勇気<4,-0.3333333333333335,2.166666666666667
45,2.0,3.6666666666666665,3.5,事前勇気<4,-1.6666666666666665,2.833333333333333
46,2.8333333333333335,2.5,3.3333333333333335,事前勇気<4,0.3333333333333335,2.666666666666667
47,5.0,5.833333333333333,5.166666666666667,事前勇気>=4,-0.833333333333333,5.416666666666666
48,4.5,4.5,4.5,事前勇気>=4,0.0,4.5
49,4.166666666666667,4.166666666666667,3.6666666666666665,事前勇気<4,0.0,4.166666666666667
50,3.8333333333333335,3.8333333333333335,4.5,事前勇気>=4,0.0,3.8333333333333335
51,3.0,2.6666666666666665,2.0,事前勇気<4,0.3333333333333335,2.833333333333333
52,4.5,4.666666666666667,4.166666666666667,事前勇気>=4,-0.16666666666666696,4.583333333333334
53,4.0,4.0,4.0,事前勇気>=4,0.0,4.0
54,4.0,4.0,3.3333333333333335,事前勇気<4,0.0,4.0
55,5.833333333333333,5.666666666666667,5.333333333333333,事前勇気>=4,0.16666666666666607,5.75
56,2.8333333333333335,2.0,2.5,事前勇気<4,0.8333333333333335,2.416666666666667
57,3.6666666666666665,2.8333333333333335,2.5,事前勇気<4,0.833333333333333,3.25
58,1.8333333333333333,1.5,2.0,事前勇気<4,0.33333333333333326,1.6666666666666665
59,3.0,2.8333333333333335,2.0,事前勇気<4,0.16666666666666652,2.916666666666667
60,4.833333333333333,4.833333333333333,5.333333333333333,事前勇気>=4,0.0,4.833333333333333
61,4.0,3.8333333333333335,4.666666666666667,事前勇気>=4,0.16666666666666652,3.916666666666667
62,2.8333333333333335,4.666666666666667,4.333333333333333,事前勇気>=4,-1.8333333333333335,3.75
63,4.666666666666667,4.0,4.333333333333333,事前勇気>=4,0.666666666666667,4.333333333333334
64,5.666666666666667,6.0,5.833333333333333,事前勇気>=4,-0.33333333333333304,5.833333333333334
65,3.0,2.5,2.5,事前勇気<4,0.5,2.75
66,3.3333333333333335,2.6666666666666665,4.5,事前勇気>=4,0.666666666666667,3.0
67,3.3333333333333335,2.6666666666666665,3.8333333333333335,事前勇気<4,0.666666666666667,3.0
68,4.0,4.0,4.166666666666667,事前勇気>=4,0.0,4.0
69,5.833333333333333,5.833333333333333,4.833333333333333,事前勇気>=4,0.0,5.833333333333333
70,2.6666666666666665,2.8333333333333335,2.6666666666666665,事前勇気<4,-0.16666666666666696,2.75
71,3.8333333333333335,4.666666666666667,4.666666666666667,事前勇気>=4,-0.8333333333333335,4.25
72,1.3333333333333333,2.5,1.8333333333333333,事前勇気<4,-1.1666666666666667,1.9166666666666665
73,4.0,4.0,4.5,事前勇気>=4,0.0,4.0
74,5.333333333333333,5.0,4.833333333333333,事前勇気>=4,0.33333333333333304,5.166666666666666
75,3.3333333333333335,4.166666666666667,1.8333333333333333,事前勇気<4,-0.8333333333333335,3.75
76,4.333333333333333,5.0,4.833333333333333,事前勇気>=4,-0.666666666666667,4.666666666666666
77,1.5,1.6666666666666667,2.0,事前勇気<4,-0.16666666666666674,1.5833333333333335
78,4.333333333333333,4.0,4.166666666666667,事前勇気>=4,0.33333333333333304,4.166666666666666
79,5.333333333333333,3.5,4.5,事前勇気>=4,1.833333333333333,4.416666666666666
80,3.8333333333333335,3.8333333333333335,4.166666666666667,事前勇気>=4,0.0,3.8333333333333335
81,4.5,4.333333333333333,4.333333333333333,事前勇気>=4,0.16666666666666696,4.416666666666666
82,5.0,5.0,3.5,事前勇気<4,0.0,5.0
