participant_id,group,age,gender,courage_pre,czo_pre,courage_diff_conflict_action,courage_diff_conflict_noaction,courage_diff_no_conflict_action,courage_diff_no_conflict_noaction,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,czo_diff_conflict_mean,czo_diff_no_conflict_mean,conflict_post_conflict_mean,conflict_post_no_conflict_mean,subjective_item1_conflict_mean,subjective_item2_conflict_mean,subjective_item3_conflict_mean
18,その他群,26,2,2.8333333333333335,2.6,0.33333333333333304,0.16666666666666696,0.33333333333333304,0.33333333333333304,0.25,0.33333333333333304,-0.08333333333333304,-0.15000000000000013,-0.40000000000000013,5.0,2.125,4.0,3.5,4.0
19,その他群,29,2,2.8333333333333335,2.2,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.833333333333333,0.0,0.4999999999999998,0.3999999999999999,3.625,3.75,3.5,4.0,3.5
20,その他群,26,1,4.5,3.7,0.16666666666666652,-1.0000000000000002,0.833333333333333,-1.1666666666666667,-0.41666666666666685,-0.16666666666666685,-0.25,0.1499999999999997,0.2999999999999998,5.25,5.625,3.0,3.0,3.5
21,葛藤あり高群,23,1,3.5,3.0,-0.6666666666666665,0.666666666666667,0.666666666666667,-1.0,2.220446049250313e-16,-0.16666666666666652,0.16666666666666674,-0.8,-0.5000000000000002,6.5,4.0,5.0,5.5,7.0
22,その他群,26,2,4.5,4.0,0.3333333333333335,0.5,-0.3333333333333335,0.16666666666666652,0.41666666666666674,-0.08333333333333348,0.5000000000000002,0.050000000000000044,-0.050000000000000044,3.5,3.75,3.0,4.0,4.0
23,その他群,22,1,5.833333333333333,3.7,0.0,0.33333333333333304,0.666666666666667,0.5,0.16666666666666652,0.5833333333333335,-0.41666666666666696,-2.220446049250313e-16,-0.20000000000000018,6.25,5.0,2.5,1.5,1.5
24,その他群,28,1,3.5,3.2,0.16666666666666696,0.16666666666666696,0.3333333333333339,0.3333333333333339,0.16666666666666696,0.3333333333333339,-0.16666666666666696,-0.050000000000000044,-0.10000000000000009,5.375,4.75,4.5,4.0,3.0
25,その他群,29,2,4.166666666666667,3.3,-1.1666666666666665,0.16666666666666652,0.0,0.0,-0.5,0.0,-0.5,-0.050000000000000044,-0.30000000000000027,2.375,3.375,2.5,2.5,2.5
26,葛藤あり高群,18,2,3.6666666666666665,2.7,0.33333333333333304,-2.5,0.6666666666666661,-2.333333333333334,-1.0833333333333335,-0.8333333333333339,-0.24999999999999956,0.20000000000000018,-0.1499999999999999,6.875,4.5,4.0,3.0,3.0
27,葛藤あり高群,18,1,1.3333333333333333,2.1,0.16666666666666696,0.5000000000000004,-0.833333333333333,0.0,0.3333333333333337,-0.4166666666666665,0.7500000000000002,0.19999999999999973,0.09999999999999987,3.25,4.75,4.5,4.0,3.5
28,その他群,26,2,5.333333333333333,4.2,0.5,0.16666666666666674,0.0,0.0,0.33333333333333337,0.0,0.33333333333333337,0.34999999999999987,0.3999999999999999,5.625,3.125,1.5,2.0,1.5
29,その他群,29,1,6.0,4.7,0.666666666666667,0.8333333333333339,1.333333333333334,1.333333333333334,0.7500000000000004,1.333333333333334,-0.5833333333333335,0.19999999999999973,0.04999999999999982,6.5,3.0,1.0,1.0,1.0
30,その他群,21,2,1.8333333333333333,3.4,0.666666666666667,0.5,0.5,1.0,0.5833333333333335,0.75,-0.16666666666666652,0.09999999999999964,0.09999999999999964,4.625,1.5,4.0,4.0,4.0
31,葛藤あり高群,24,2,3.5,3.0,0.8333333333333333,0.33333333333333326,0.33333333333333326,0.6666666666666667,0.5833333333333333,0.5,0.08333333333333326,-0.2999999999999998,-0.5,6.0,6.0,5.0,5.0,5.0
32,その他群,28,2,3.5,2.8,-0.16666666666666652,-0.16666666666666652,-1.0,-0.8333333333333335,-0.16666666666666652,-0.9166666666666667,0.7500000000000002,0.050000000000000044,0.0,2.75,3.125,3.0,3.0,3.0
33,その他群,18,2,5.5,3.3,0.16666666666666652,0.0,0.16666666666666652,0.0,0.08333333333333326,0.08333333333333326,0.0,0.0,-0.1499999999999997,6.125,6.125,5.0,5.0,6.0
34,その他群,22,1,5.166666666666667,3.3,-0.16666666666666696,0.16666666666666696,-0.16666666666666696,0.33333333333333304,0.0,0.08333333333333304,-0.08333333333333304,-0.19999999999999973,-0.44999999999999996,6.0,3.25,3.0,2.5,3.5
35,その他群,18,2,5.166666666666667,3.4,-0.16666666666666696,1.333333333333333,1.333333333333333,1.166666666666666,0.583333333333333,1.2499999999999996,-0.6666666666666665,0.6000000000000001,0.40000000000000013,6.625,6.75,6.0,6.5,7.0
36,その他群,28,2,2.6666666666666665,2.5,0.0,-0.3333333333333339,-0.16666666666666696,-0.16666666666666696,-0.16666666666666696,-0.16666666666666696,0.0,0.050000000000000044,0.0,6.375,5.5,5.0,5.0,5.0
37,その他群,29,2,3.5,3.4,-0.16666666666666652,-0.5,-0.16666666666666652,0.0,-0.33333333333333326,-0.08333333333333326,-0.25,0.20000000000000018,0.25,2.875,3.5,2.0,2.0,3.0
38,葛藤あり高群,24,2,3.8333333333333335,3.1,0.3333333333333335,0.5,0.5,0.0,0.41666666666666674,0.25,0.16666666666666674,-0.19999999999999973,-0.34999999999999987,6.5,2.75,2.5,2.5,3.0
39,葛藤あり高群,26,1,1.5,2.0,-0.5,-0.666666666666667,-0.8333333333333335,-0.8333333333333335,-0.5833333333333335,-0.8333333333333335,0.25,0.30000000000000004,0.5999999999999999,6.0,5.75,3.5,3.5,3.5
40,葛藤あり高群,21,2,2.3333333333333335,2.6,0.16666666666666674,0.33333333333333326,0.0,0.16666666666666674,0.25,0.08333333333333337,0.16666666666666663,0.10000000000000009,0.44999999999999996,3.75,2.125,1.5,1.5,2.0
41,その他群,26,2,3.8333333333333335,2.9,0.6666666666666665,0.6666666666666665,0.33333333333333304,0.16666666666666652,0.6666666666666665,0.24999999999999978,0.41666666666666674,0.3999999999999999,0.3999999999999999,6.0,5.875,3.0,3.0,3.0
42,その他群,28,2,2.8333333333333335,3.4,0.0,0.49999999999999956,0.6666666666666665,0.3333333333333335,0.24999999999999978,0.5,-0.2500000000000002,0.6500000000000001,0.44999999999999996,6.0,4.375,4.0,3.0,3.5
43,その他群,20,2,3.5,2.3,0.33333333333333304,0.16666666666666652,0.5,0.833333333333333,0.24999999999999978,0.6666666666666665,-0.41666666666666674,0.44999999999999996,0.3500000000000001,5.25,4.625,3.5,3.5,3.5
44,その他群,26,2,2.3333333333333335,2.4,0.0,0.16666666666666652,0.0,-0.3333333333333335,0.08333333333333326,-0.16666666666666674,0.25,0.050000000000000266,-0.24999999999999978,5.25,5.375,2.0,2.0,2.0
45,その他群,26,1,3.5,3.4,-0.3333333333333335,0.0,-0.3333333333333335,-1.3333333333333335,-0.16666666666666674,-0.8333333333333335,0.6666666666666667,-0.10000000000000009,0.10000000000000009,4.0,1.125,1.5,2.0,2.0
46,その他群,21,2,3.3333333333333335,3.0,-1.5,0.16666666666666652,1.0,0.666666666666667,-0.6666666666666667,0.8333333333333335,-1.5000000000000002,-0.25,-0.3999999999999999,3.75,4.125,5.0,5.0,4.5
47,その他群,28,1,5.166666666666667,3.1,-0.5,-0.8333333333333335,-0.666666666666667,-0.16666666666666696,-0.6666666666666667,-0.41666666666666696,-0.24999999999999978,0.050000000000000044,0.0,3.25,3.0,3.0,2.5,3.5
48,その他群,26,1,4.5,3.0,-0.16666666666666696,0.6666666666666661,-0.16666666666666696,0.5,0.24999999999999956,0.16666666666666652,0.08333333333333304,0.7,0.6000000000000001,2.5,2.5,1.5,2.0,1.5
49,葛藤あり高群,27,2,3.6666666666666665,3.2,0.0,0.0,0.16666666666666696,-0.8333333333333335,0.0,-0.33333333333333326,0.33333333333333326,0.34999999999999987,0.55,4.75,5.375,5.0,5.0,5.0
50,葛藤あり高群,18,2,4.5,2.9,0.5000000000000004,0.5000000000000004,-0.6666666666666665,-0.5,0.5000000000000004,-0.5833333333333333,1.0833333333333337,-0.15000000000000036,-0.30000000000000027,3.75,4.375,4.5,3.5,4.5
51,その他群,19,1,2.0,3.0,-0.6666666666666665,-0.6666666666666665,-1.0,-1.3333333333333335,-0.6666666666666665,-1.1666666666666667,0.5000000000000002,0.15000000000000013,0.15000000000000013,5.125,5.25,5.0,3.0,4.5
52,その他群,26,2,4.166666666666667,3.8,1.0,0.6666666666666665,-0.16666666666666674,4.166666666666667,0.8333333333333333,2.0,-1.1666666666666667,0.0,-0.10000000000000009,5.75,6.125,4.0,4.5,4.0
53,その他群,29,1,4.0,3.0,0.33333333333333304,0.5,0.6666666666666661,0.5,0.4166666666666665,0.583333333333333,-0.16666666666666652,0.10000000000000009,2.220446049250313e-16,5.875,2.75,3.5,2.5,3.5
54,葛藤あり高群,20,1,3.3333333333333335,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.5,4.0
55,その他群,25,1,5.333333333333333,3.1,0.6666666666666665,0.6666666666666665,-0.3333333333333335,-0.3333333333333335,0.6666666666666665,-0.3333333333333335,1.0,0.5000000000000002,0.6000000000000001,4.875,5.0,4.0,4.0,4.0
56,その他群,19,2,2.5,2.3,0.5,0.3333333333333339,0.16666666666666696,0.5,0.41666666666666696,0.3333333333333335,0.08333333333333348,-0.40000000000000013,0.0,6.125,4.625,5.0,5.5,4.5
57,その他群,29,1,2.5,2.3,0.3333333333333335,-0.5,-0.5,-0.5,-0.08333333333333326,-0.5,0.41666666666666674,0.30000000000000027,0.10000000000000009,5.25,4.375,2.5,2.5,2.5
58,その他群,29,2,2.0,1.8,1.1666666666666665,0.3333333333333335,1.3333333333333335,0.5,0.75,0.9166666666666667,-0.16666666666666674,-0.04999999999999982,0.20000000000000018,5.0,3.875,3.5,3.0,4.0
59,その他群,29,1,2.0,2.6,-0.16666666666666674,-0.5,-0.5,-0.16666666666666674,-0.33333333333333337,-0.33333333333333337,0.0,0.09999999999999987,0.44999999999999996,6.0,4.75,3.0,5.0,5.0
60,その他群,21,2,5.333333333333333,3.6,1.0,0.8333333333333335,1.0,1.0,0.9166666666666667,1.0,-0.08333333333333326,0.3500000000000001,0.19999999999999996,6.5,3.375,2.5,2.5,2.5
61,その他群,20,2,4.666666666666667,3.2,-0.5,-0.5,-0.33333333333333304,-0.5,-0.5,-0.4166666666666665,-0.08333333333333348,0.10000000000000009,0.10000000000000009,6.0,4.75,5.0,5.5,4.0
62,その他群,20,2,4.333333333333333,2.6,-0.666666666666667,-0.8333333333333335,-0.5,-0.666666666666667,-0.7500000000000002,-0.5833333333333335,-0.16666666666666674,-0.15000000000000013,-0.2500000000000002,4.5,4.25,3.5,3.0,3.5
63,その他群,28,2,4.333333333333333,4.0,-1.4999999999999996,0.3333333333333339,0.666666666666667,0.666666666666667,-0.5833333333333328,0.666666666666667,-1.2499999999999998,0.1499999999999999,0.34999999999999987,4.875,5.0,3.0,3.5,4.0
64,その他群,22,1,5.833333333333333,3.6,0.3333333333333339,-0.33333333333333304,0.0,0.0,4.440892098500626e-16,0.0,4.440892098500626e-16,0.09999999999999964,0.04999999999999982,6.25,3.625,5.5,4.0,4.0
65,その他群,23,2,2.5,3.1,-0.16666666666666607,0.16666666666666696,0.0,0.16666666666666696,4.440892098500626e-16,0.08333333333333348,-0.08333333333333304,-0.050000000000000044,-0.20000000000000018,6.25,2.375,2.5,4.0,2.5
66,その他群,22,2,4.5,3.2,0.5,0.0,-0.16666666666666652,0.0,0.25,-0.08333333333333326,0.33333333333333326,-0.050000000000000044,-0.050000000000000044,3.125,2.375,3.5,3.0,3.0
67,その他群,20,1,3.8333333333333335,3.0,-1.1666666666666665,-1.8333333333333335,-1.1666666666666665,-1.3333333333333335,-1.5,-1.25,-0.25,-0.5500000000000003,-0.15000000000000036,4.125,3.875,3.0,2.0,2.5
68,その他群,25,1,4.166666666666667,3.9,-0.5,-1.166666666666667,-1.8333333333333335,-1.166666666666667,-0.8333333333333335,-1.5000000000000002,0.6666666666666667,-0.10000000000000009,-0.10000000000000009,5.25,5.375,2.0,2.0,3.5
69,その他群,29,2,4.833333333333333,3.8,-0.16666666666666696,-0.16666666666666696,0.16666666666666607,0.16666666666666607,-0.16666666666666696,0.16666666666666607,-0.33333333333333304,-0.1499999999999999,-0.09999999999999987,6.125,4.0,2.0,1.5,3.0
70,葛藤あり高群,20,2,2.6666666666666665,3.2,1.0,1.0,1.166666666666667,1.0,1.0,1.0833333333333335,-0.08333333333333348,1.0500000000000003,1.1000000000000005,6.5,3.625,6.0,6.0,7.0
71,その他群,19,2,4.666666666666667,3.8,0.0,0.16666666666666696,-0.16666666666666652,-0.6666666666666665,0.08333333333333348,-0.4166666666666665,0.5,-0.20000000000000018,-0.40000000000000036,5.0,5.0,2.0,3.5,4.0
72,その他群,29,2,1.8333333333333333,2.6,-0.8333333333333335,0.0,0.6666666666666661,0.833333333333333,-0.41666666666666674,0.7499999999999996,-1.1666666666666663,0.5,0.5500000000000003,5.5,1.875,2.0,2.0,1.5
73,葛藤あり高群,21,2,4.5,2.9,-0.5,0.6666666666666667,0.16666666666666674,0.33333333333333326,0.08333333333333337,0.25,-0.16666666666666663,-0.8,-0.7500000000000001,4.875,4.125,1.0,1.0,1.0
74,その他群,18,1,4.833333333333333,3.4,-0.5,-0.5,-1.8333333333333335,-1.3333333333333335,-0.5,-1.5833333333333335,1.0833333333333335,-0.24999999999999978,-0.050000000000000044,3.0,3.25,4.0,4.0,3.5
