participant_id,group,czo_pre,courage_pre,czo_diff_conflict_mean,czo_diff_no_conflict_mean,czo_diff_conflict_minus_no_conflict,czo_diff_video1,czo_diff_video2,courage_diff_conflict_mean,courage_diff_no_conflict_mean
91,CZO事前3超,3.1,4.833333333333333,-0.20000000000000018,-0.10000000000000009,-0.10000000000000009,-0.20000000000000018,-0.20000000000000018,-0.24999999999999956,4.440892098500626e-16
92,CZO事前3超,3.5,5.0,-0.15000000000000013,-0.20000000000000018,0.050000000000000044,-0.20000000000000018,-0.10000000000000009,-0.833333333333333,-0.16666666666666652
93,CZO事前3超,3.1,4.0,0.2999999999999998,0.2999999999999998,0.0,0.2999999999999998,0.2999999999999998,0.0,0.0
94,CZO事前3以下,2.1,2.3333333333333335,-0.050000000000000044,-0.050000000000000044,0.0,-0.10000000000000009,0.0,1.1666666666666665,0.8333333333333335
95,CZO事前3以下,2.3,3.5,-0.10000000000000009,0.0,-0.10000000000000009,-0.10000000000000009,-0.10000000000000009,-0.3333333333333335,-0.3333333333333335
96,CZO事前3以下,2.8,4.5,0.25,0.75,-0.5,0.0,0.5,-1.0833333333333333,-0.33333333333333315
97,CZO事前3超,3.8,3.5,0.5000000000000002,0.7500000000000002,-0.25,0.30000000000000027,0.7000000000000002,0.33333333333333304,0.33333333333333304
98,CZO事前3超,3.3,3.3333333333333335,-0.04999999999999982,-0.2999999999999998,0.25,0.10000000000000009,-0.19999999999999973,0.8333333333333335,0.9166666666666665
99,CZO事前3以下,2.4,3.5,-0.24999999999999978,-0.2999999999999998,0.050000000000000044,0.20000000000000018,-0.6999999999999997,0.25,0.08333333333333304
100,CZO事前3以下,3.0,2.3333333333333335,0.55,0.6500000000000001,-0.10000000000000009,0.5,0.6000000000000001,-0.33333333333333326,-0.5833333333333335
101,CZO事前3以下,2.5,1.5,0.20000000000000018,0.050000000000000044,0.15000000000000013,0.20000000000000018,0.20000000000000018,-0.2500000000000002,-0.3333333333333336
102,CZO事前3超,3.9,4.666666666666667,0.6499999999999999,0.19999999999999996,0.44999999999999996,0.5,0.7999999999999998,1.5,2.416666666666667
103,CZO事前3以下,2.5,3.6666666666666665,-0.1499999999999999,0.30000000000000027,-0.4500000000000002,-0.2999999999999998,0.0,-0.16666666666666696,0.24999999999999956
104,CZO事前3以下,3.0,4.0,0.15000000000000013,0.10000000000000009,0.050000000000000044,0.20000000000000018,0.10000000000000009,0.08333333333333348,-0.24999999999999978
105,CZO事前3以下,3.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,CZO事前3超,3.6,4.666666666666667,-0.15000000000000013,0.09999999999999987,-0.25,-0.10000000000000009,-0.20000000000000018,-0.16666666666666652,0.25000000000000044
107,CZO事前3以下,2.5,2.6666666666666665,0.25,0.30000000000000004,-0.050000000000000044,0.8000000000000003,-0.30000000000000027,-0.5000000000000002,-0.5833333333333337
108,CZO事前3以下,2.3,2.5,-0.25,-0.25,0.0,-0.2999999999999998,-0.20000000000000018,-0.4999999999999998,-0.6666666666666665
109,CZO事前3以下,1.7,3.1666666666666665,-0.09999999999999987,-0.04999999999999982,-0.050000000000000044,-0.2999999999999998,0.10000000000000009,1.3333333333333335,0.0
110,CZO事前3超,3.5,4.166666666666667,0.55,0.4500000000000002,0.09999999999999987,0.30000000000000004,0.8,0.08333333333333348,0.16666666666666674
111,CZO事前3超,3.1,3.8333333333333335,0.3999999999999999,0.5,-0.10000000000000009,0.2999999999999998,0.5,0.16666666666666607,0.16666666666666652
112,CZO事前3超,3.4,3.6666666666666665,-0.10000000000000009,0.050000000000000044,-0.15000000000000013,0.0,-0.20000000000000018,0.583333333333333,-0.3333333333333335
113,CZO事前3超,3.3,5.166666666666667,-0.34999999999999987,-0.19999999999999996,-0.1499999999999999,-0.5,-0.19999999999999973,1.75,1.5
114,CZO事前3以下,2.5,3.3333333333333335,0.2500000000000002,0.30000000000000027,-0.050000000000000044,0.40000000000000036,0.10000000000000009,0.0,0.16666666666666652
115,CZO事前3以下,3.0,3.6666666666666665,-0.15000000000000013,0.050000000000000044,-0.20000000000000018,-0.10000000000000009,-0.20000000000000018,-0.3333333333333335,-0.2500000000000002
116,CZO事前3以下,2.0,2.5,0.050000000000000044,0.4500000000000002,-0.40000000000000013,0.20000000000000018,-0.10000000000000009,0.2500000000000002,0.41666666666666674
117,CZO事前3超,3.7,3.6666666666666665,-0.25,-0.44999999999999996,0.19999999999999996,-0.19999999999999996,-0.30000000000000004,-0.08333333333333326,-0.33333333333333337
118,CZO事前3以下,2.2,2.3333333333333335,-0.20000000000000018,-0.30000000000000027,0.10000000000000009,0.2999999999999998,-0.7000000000000002,0.75,2.220446049250313e-16
119,CZO事前3以下,2.6,2.5,0.8499999999999999,0.7999999999999998,0.050000000000000044,0.7999999999999998,0.8999999999999999,1.1666666666666665,1.6666666666666665
120,CZO事前3以下,3.0,4.5,-0.3500000000000001,-0.55,0.19999999999999996,-0.3999999999999999,-0.30000000000000027,-0.3333333333333335,-0.6666666666666666
121,CZO事前3超,4.1,6.833333333333333,-0.10000000000000009,0.0,-0.10000000000000009,-0.20000000000000018,0.0,0.08333333333333348,0.5833333333333335
122,CZO事前3以下,1.9,3.1666666666666665,0.15000000000000036,-0.19999999999999973,0.3500000000000001,0.40000000000000036,-0.09999999999999964,-0.08333333333333304,-0.08333333333333304
123,CZO事前3超,3.3,3.3333333333333335,-0.4999999999999999,-0.6499999999999999,0.15000000000000002,-0.2999999999999998,-0.7,0.08333333333333348,-0.6666666666666665
124,CZO事前3以下,2.9,3.1666666666666665,0.20000000000000018,0.3500000000000003,-0.15000000000000013,0.10000000000000009,0.30000000000000027,0.75,0.75
125,CZO事前3以下,2.9,4.333333333333333,0.20000000000000018,0.30000000000000027,-0.10000000000000009,0.30000000000000027,0.10000000000000009,0.6666666666666667,0.5833333333333335
126,CZO事前3以下,2.8,3.6666666666666665,0.10000000000000009,0.10000000000000009,0.0,0.10000000000000009,0.10000000000000009,4.440892098500626e-16,-0.08333333333333304
