participant_id,group,courage_pre,czo_pre,courage_diff_conflict_mean,courage_diff_no_conflict_mean,courage_diff_conflict_minus_no_conflict,courage_diff_video1,courage_diff_video2,is_conflict_high_group
52,勇気事前4超,4.166666666666667,3.8,0.8333333333333333,2.0,-1.1666666666666667,1.0,0.6666666666666665,False
53,勇気事前4以下,4.0,3.0,0.4166666666666665,0.583333333333333,-0.16666666666666652,0.33333333333333304,0.5,False
54,勇気事前4以下,3.3333333333333335,1.7,0.0,0.0,0.0,0.0,0.0,True
55,勇気事前4超,5.333333333333333,3.1,0.6666666666666665,-0.3333333333333335,1.0,0.6666666666666665,0.6666666666666665,False
56,勇気事前4以下,2.5,2.3,0.41666666666666696,0.3333333333333335,0.08333333333333348,0.5,0.3333333333333339,False
57,勇気事前4以下,2.5,2.3,-0.08333333333333326,-0.5,0.41666666666666674,0.3333333333333335,-0.5,False
58,勇気事前4以下,2.0,1.8,0.75,0.9166666666666667,-0.16666666666666674,1.1666666666666665,0.3333333333333335,False
59,勇気事前4以下,2.0,2.6,-0.33333333333333337,-0.33333333333333337,0.0,-0.16666666666666674,-0.5,False
60,勇気事前4超,5.333333333333333,3.6,0.9166666666666667,1.0,-0.08333333333333326,1.0,0.8333333333333335,False
61,勇気事前4超,4.666666666666667,3.2,-0.5,-0.4166666666666665,-0.08333333333333348,-0.5,-0.5,False
62,勇気事前4超,4.333333333333333,2.6,-0.7500000000000002,-0.5833333333333335,-0.16666666666666674,-0.666666666666667,-0.8333333333333335,False
63,勇気事前4超,4.333333333333333,4.0,-0.5833333333333328,0.666666666666667,-1.2499999999999998,-1.4999999999999996,0.3333333333333339,False
64,勇気事前4超,5.833333333333333,3.6,4.440892098500626e-16,0.0,4.440892098500626e-16,0.3333333333333339,-0.33333333333333304,False
65,勇気事前4以下,2.5,3.1,4.440892098500626e-16,0.08333333333333348,-0.08333333333333304,-0.16666666666666607,0.16666666666666696,False
66,勇気事前4超,4.5,3.2,0.25,-0.08333333333333326,0.33333333333333326,0.5,0.0,False
67,勇気事前4以下,3.8333333333333335,3.0,-1.5,-1.25,-0.25,-1.1666666666666665,-1.8333333333333335,False
68,勇気事前4超,4.166666666666667,3.9,-0.8333333333333335,-1.5000000000000002,0.6666666666666667,-0.5,-1.166666666666667,False
69,勇気事前4超,4.833333333333333,3.8,-0.16666666666666696,0.16666666666666607,-0.33333333333333304,-0.16666666666666696,-0.16666666666666696,False
70,勇気事前4以下,2.6666666666666665,3.2,1.0,1.0833333333333335,-0.08333333333333348,1.0,1.0,True
71,勇気事前4超,4.666666666666667,3.8,0.08333333333333348,-0.4166666666666665,0.5,0.0,0.16666666666666696,False
72,勇気事前4以下,1.8333333333333333,2.6,-0.41666666666666674,0.7499999999999996,-1.1666666666666663,-0.8333333333333335,0.0,False
73,勇気事前4超,4.5,2.9,0.08333333333333337,0.25,-0.16666666666666663,-0.5,0.6666666666666667,True
74,勇気事前4超,4.833333333333333,3.4,-0.5,-1.5833333333333335,1.0833333333333335,-0.5,-0.5,False
75,勇気事前4以下,1.8333333333333333,3.1,0.3333333333333335,1.0000000000000004,-0.666666666666667,0.5,0.16666666666666696,True
76,勇気事前4超,4.833333333333333,2.6,1.916666666666667,0.6666666666666667,1.2500000000000002,1.5000000000000002,2.333333333333334,False
77,勇気事前4以下,2.0,2.8,-0.16666666666666652,-0.08333333333333304,-0.08333333333333348,-0.5,0.16666666666666696,False
78,勇気事前4超,4.166666666666667,3.5,-0.41666666666666663,-1.1102230246251565e-16,-0.4166666666666665,-0.5,-0.33333333333333326,True
79,勇気事前4超,4.5,3.7,-4.440892098500626e-16,-0.5000000000000002,0.4999999999999998,0.16666666666666607,-0.16666666666666696,False
80,勇気事前4超,4.166666666666667,3.3,-0.08333333333333348,0.33333333333333326,-0.41666666666666674,0.833333333333333,-1.0,True
